timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage,rx_bytes,tx_bytes
2026-01-05 20:38:58.928346153 +0000 UTC m=+3.264421217,40,77148,7158859000,174362624,197147,142346
2026-01-05 20:38:59.931855076 +0000 UTC m=+4.267930140,54,77148,8391193000,196263936,268554,258228
2026-01-05 20:39:00.936331629 +0000 UTC m=+5.272406703,54,77148,10637920000,213311488,452938,586086
2026-01-05 20:39:01.938723453 +0000 UTC m=+6.274798516,54,77148,12205772000,233070592,637142,912635
2026-01-05 20:39:02.941667706 +0000 UTC m=+7.277742810,54,77148,13539748000,249311232,821063,1238907
2026-01-05 20:39:03.944111669 +0000 UTC m=+8.280186733,53,77148,14719871000,250486784,1004695,1565475
2026-01-05 20:39:04.948389903 +0000 UTC m=+9.284464957,53,77148,15370678000,250695680,1188558,1892028
2026-01-05 20:39:05.951212776 +0000 UTC m=+10.287287830,53,77148,16277444000,258535424,1372948,2218621
2026-01-05 20:39:06.953489619 +0000 UTC m=+11.289564683,53,77148,17416162000,268795904,1556816,2545188
2026-01-05 20:39:07.956228033 +0000 UTC m=+12.292303097,54,77148,18616325000,273588224,1740490,2870810
2026-01-05 20:39:08.958627126 +0000 UTC m=+13.294702200,53,77148,19291062000,276512768,1924829,3197686
2026-01-05 20:39:09.96205901 +0000 UTC m=+14.298134064,54,77148,20620714000,282251264,2108767,3524576
2026-01-05 20:39:10.964403763 +0000 UTC m=+15.300478817,53,77148,21266776000,282550272,2292631,3851130
2026-01-05 20:39:11.966949027 +0000 UTC m=+16.303024081,54,77148,21740707000,282923008,2476359,4176149
2026-01-05 20:39:12.9696748 +0000 UTC m=+17.305749874,53,77148,22018449000,274935808,2660465,4503039
2026-01-05 20:39:13.972314393 +0000 UTC m=+18.308389458,53,77148,22292754000,275136512,2844160,4829348
2026-01-05 20:39:14.975365047 +0000 UTC m=+19.311440101,53,77148,22534414000,275234816,3028259,5156222
2026-01-05 20:39:15.97837815 +0000 UTC m=+20.314453214,53,77148,22782871000,275320832,3212412,5482493
2026-01-05 20:39:16.980999394 +0000 UTC m=+21.317074488,53,77148,23020300000,275427328,3395991,5809343
2026-01-05 20:39:17.984363507 +0000 UTC m=+22.320438601,53,77148,23225583000,275517440,3580665,6135315
2026-01-05 20:39:18.986974391 +0000 UTC m=+23.323049455,53,77148,23433087000,275578880,3764063,6461575
2026-01-05 20:39:19.990188104 +0000 UTC m=+24.326263178,53,77148,23912277000,276983808,3948163,6788128
2026-01-05 20:39:20.992537888 +0000 UTC m=+25.328612951,53,77148,24149170000,277045248,4131839,7114074
2026-01-05 20:39:21.995065581 +0000 UTC m=+26.331140655,53,77148,24371488000,277356544,4315940,7440950
2026-01-05 20:39:22.997639704 +0000 UTC m=+27.333714778,53,77148,24600809000,277151744,4499994,7768445
2026-01-05 20:39:23.999844468 +0000 UTC m=+28.335919522,53,77148,24821607000,277209088,4683769,8092845
2026-01-05 20:39:25.002160502 +0000 UTC m=+29.338235576,53,77148,25044760000,277250048,4867881,8419750
2026-01-05 20:39:26.004561725 +0000 UTC m=+30.340636799,53,77148,25254112000,277295104,5051813,8745672
2026-01-05 20:39:27.007234178 +0000 UTC m=+31.343309242,53,77148,25489933000,277721088,5235204,9072222
2026-01-05 20:39:28.010125632 +0000 UTC m=+32.346200696,53,77148,25784631000,277549056,5419542,9399420
2026-01-05 20:39:29.012497255 +0000 UTC m=+33.348572329,53,77148,25988761000,277598208,5602983,9724724
2026-01-05 20:39:30.016294359 +0000 UTC m=+34.352369413,53,77148,26138693000,277655552,5698723,9891672
