timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage,rx_bytes,tx_bytes
2026-01-05 20:38:23.529100034 +0000 UTC m=+0.978768795,21,77148,458082000,114868224,10359,10609
2026-01-05 20:38:24.531775437 +0000 UTC m=+1.981444188,28,77148,3021030000,146497536,163363,6785349
2026-01-05 20:38:25.53445548 +0000 UTC m=+2.984124261,28,77148,8649476000,164098048,395159,23884029
2026-01-05 20:38:26.536989743 +0000 UTC m=+3.986658484,28,77148,13937807000,165814272,580877,39563365
2026-01-05 20:38:27.539969686 +0000 UTC m=+4.989638447,28,77148,19096506000,173420544,749217,54985956
2026-01-05 20:38:28.542761809 +0000 UTC m=+5.992430560,28,77148,24222360000,178835456,906310,69592377
2026-01-05 20:38:29.547677572 +0000 UTC m=+6.997346344,28,77148,29015014000,161210368,1048404,83114195
2026-01-05 20:38:30.550391506 +0000 UTC m=+8.000060247,28,77148,34047374000,161751040,1196823,97656212
2026-01-05 20:38:31.553023559 +0000 UTC m=+9.002692310,28,77148,38824759000,144543744,1326182,110428510
2026-01-05 20:38:32.556195292 +0000 UTC m=+10.005864043,29,77148,43647897000,153812992,1459722,123686579
2026-01-05 20:38:33.559444155 +0000 UTC m=+11.009112906,29,77148,48677191000,173178880,1594063,137643946
2026-01-05 20:38:34.562684759 +0000 UTC m=+12.012353510,29,77148,53479347000,177098752,1724109,150983750
2026-01-05 20:38:35.565296682 +0000 UTC m=+13.014965433,29,77148,58530806000,165761024,1863039,165237838
2026-01-05 20:38:36.567856525 +0000 UTC m=+14.017525276,29,77148,63517225000,189120512,1995612,179083237
2026-01-05 20:38:37.570517268 +0000 UTC m=+15.020186019,29,77148,68607339000,148824064,2134919,193893618
2026-01-05 20:38:38.573508642 +0000 UTC m=+16.023177392,29,77148,73638028000,169799680,2261812,207116306
2026-01-05 20:38:39.576575075 +0000 UTC m=+17.026243836,29,77148,78395927000,162254848,2387446,220635267
2026-01-05 20:38:40.579609658 +0000 UTC m=+18.029278409,29,77148,83449853000,180584448,2519130,234625078
2026-01-05 20:38:41.582895181 +0000 UTC m=+19.032563932,29,77148,88435656000,150315008,2650788,248865906
2026-01-05 20:38:42.585763904 +0000 UTC m=+20.035432656,29,77148,93589962000,174239744,2788991,263646737
2026-01-05 20:38:43.588542088 +0000 UTC m=+21.038210829,29,77148,98419861000,163430400,2916084,277361907
2026-01-05 20:38:44.592544411 +0000 UTC m=+22.042213162,29,77148,103009590000,187539456,3035608,290396429
2026-01-05 20:38:45.595160425 +0000 UTC m=+23.044829166,29,77148,107035754000,148566016,3135536,301340047
2026-01-05 20:38:46.604323098 +0000 UTC m=+24.053991849,29,77148,110944330000,144580608,3234358,312080118
2026-01-05 20:38:47.612557061 +0000 UTC m=+25.062225832,29,77148,114788428000,144199680,3328201,322341606
2026-01-05 20:38:48.615329084 +0000 UTC m=+26.064997835,29,77148,118651701000,177508352,3426289,333115670
2026-01-05 20:38:49.619785357 +0000 UTC m=+27.069454128,29,77148,122484857000,150548480,3517082,342848555
2026-01-05 20:38:50.625019771 +0000 UTC m=+28.074688532,29,77148,125907576000,126697472,3593617,351357133
2026-01-05 20:38:51.627603874 +0000 UTC m=+29.077272645,29,77148,129311983000,122462208,3673291,360278514
2026-01-05 20:38:52.630178457 +0000 UTC m=+30.079847208,29,77148,132730059000,140943360,3746757,368284502
2026-01-05 20:38:53.63273282 +0000 UTC m=+31.082401571,29,77148,136147535000,125591552,3826367,376986384
2026-01-05 20:38:54.634914923 +0000 UTC m=+32.084583664,29,77148,138570218000,99315712,3865554,381806578
