script,iteration,request_rate,percentile,latency
mixed-requests.lua,0,3000,50.0,1.71
mixed-requests.lua,0,3000,75.0,2.03
mixed-requests.lua,0,3000,90.0,2.36
mixed-requests.lua,0,3000,99.0,13.63
mixed-requests.lua,0,3000,99.9,20.66
mixed-requests.lua,0,3000,99.99,24.3
mixed-requests.lua,0,3000,99.999,27.98
mixed-requests.lua,0,3000,100.0,28.09
