timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage,rx_bytes,tx_bytes
2026-01-05 20:35:49.321021466 +0000 UTC m=+2.569338305,33,77148,6988259000,281980928,170709,123068
2026-01-05 20:35:50.323401669 +0000 UTC m=+3.571718518,47,77148,8286991000,286502912,262630,275895
2026-01-05 20:35:51.326359221 +0000 UTC m=+4.574676060,47,77148,9948200000,295108608,446890,601914
2026-01-05 20:35:52.330727513 +0000 UTC m=+5.579044352,47,77148,11792608000,314707968,631059,929421
2026-01-05 20:35:53.334083435 +0000 UTC m=+6.582400264,47,77148,13472996000,326340608,815381,1256585
2026-01-05 20:35:54.337893917 +0000 UTC m=+7.586210766,47,77148,14865076000,337346560,999481,1583136
2026-01-05 20:35:55.340011469 +0000 UTC m=+8.588328298,46,77148,15670568000,333398016,1183295,1910621
2026-01-05 20:35:56.342945732 +0000 UTC m=+9.591262581,46,77148,16286689000,360882176,1367024,2235641
2026-01-05 20:35:57.345712684 +0000 UTC m=+10.594029523,46,77148,17352331000,369901568,1551242,2561338
2026-01-05 20:35:58.348046906 +0000 UTC m=+11.596363755,47,77148,18600640000,375791616,1735114,2887596
2026-01-05 20:35:59.351536389 +0000 UTC m=+12.599853228,47,77148,19137107000,403075072,1919151,3215378
2026-01-05 20:36:00.354124281 +0000 UTC m=+13.602441110,46,77148,20175431000,409133056,2103083,3541930
2026-01-05 20:36:01.356813484 +0000 UTC m=+14.605130343,47,77148,21117935000,418271232,2286712,3868164
2026-01-05 20:36:02.360704606 +0000 UTC m=+15.609021435,46,77148,21341704000,426708992,2471097,4194743
2026-01-05 20:36:03.364273618 +0000 UTC m=+16.612590447,46,77148,21604580000,425926656,2655552,4520762
2026-01-05 20:36:04.366878961 +0000 UTC m=+17.615195800,46,77148,21811679000,430227456,2839015,4846763
2026-01-05 20:36:05.369447623 +0000 UTC m=+18.617764452,46,77148,22001534000,432336896,3023053,5174224
2026-01-05 20:36:06.371652165 +0000 UTC m=+19.619969004,46,77148,22223208000,459661312,3206912,5500773
2026-01-05 20:36:07.374132528 +0000 UTC m=+20.622449377,46,77148,22449231000,461795328,3390780,5827331
2026-01-05 20:36:08.37651123 +0000 UTC m=+21.624828079,46,77148,22687285000,463921152,3574459,6152958
2026-01-05 20:36:09.379662602 +0000 UTC m=+22.627979431,46,77148,22935110000,472350720,3758907,6478961
2026-01-05 20:36:10.382620325 +0000 UTC m=+23.630937184,46,77148,23339052000,493449216,3942357,6804292
2026-01-05 20:36:11.388582557 +0000 UTC m=+24.636899406,46,77148,23575645000,497655808,4127293,7133648
2026-01-05 20:36:12.390798729 +0000 UTC m=+25.639115568,46,77148,23806416000,499769344,4310967,7459270
2026-01-05 20:36:13.393686161 +0000 UTC m=+26.642003021,46,77148,24096295000,527106048,4494781,7786431
2026-01-05 20:36:14.396448214 +0000 UTC m=+27.644765043,46,77148,24363396000,529489920,4678769,8112382
2026-01-05 20:36:15.398860986 +0000 UTC m=+28.647177845,46,77148,24590792000,531345408,4862980,8438063
2026-01-05 20:36:16.400998978 +0000 UTC m=+29.649315837,46,77148,24835611000,539762688,5046667,8763716
2026-01-05 20:36:17.40334124 +0000 UTC m=+30.651658080,46,77148,25091888000,560795648,5230473,9090239
2026-01-05 20:36:18.406229473 +0000 UTC m=+31.654546302,46,77148,25403006000,565084160,5414333,9417419
2026-01-05 20:36:19.408605386 +0000 UTC m=+32.656922245,46,77148,25647484000,567463936,5598437,9744298
2026-01-05 20:36:20.410822238 +0000 UTC m=+33.659139087,64,77148,25797204000,616747008,5676048,9879274
