timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage
2026-01-05 22:51:16.96830539 +0000 UTC m=+5.602520345,1,77148,45203000,2797568
2026-01-05 22:51:17.971187619 +0000 UTC m=+6.605402575,9,77148,815536000,16777216
2026-01-05 22:51:18.974355449 +0000 UTC m=+7.608570435,9,77148,1533775000,16809984
2026-01-05 22:51:19.97708925 +0000 UTC m=+8.611304196,9,77148,2254966000,17358848
2026-01-05 22:51:20.979953719 +0000 UTC m=+9.614168665,9,77148,2962994000,17231872
2026-01-05 22:51:21.982967769 +0000 UTC m=+10.617182726,9,77148,3659799000,17453056
2026-01-05 22:51:22.986123309 +0000 UTC m=+11.620338255,9,77148,4319053000,17809408
2026-01-05 22:51:23.9896707 +0000 UTC m=+12.623885716,9,77148,4972492000,18202624
2026-01-05 22:51:24.992974999 +0000 UTC m=+13.627189965,9,77148,5624671000,18235392
2026-01-05 22:51:25.9957337 +0000 UTC m=+14.629948656,9,77148,6348363000,18407424
2026-01-05 22:51:26.998180809 +0000 UTC m=+15.632396066,9,77148,7087744000,17944576
2026-01-05 22:51:28.00067353 +0000 UTC m=+16.634888496,9,77148,7798526000,18333696
2026-01-05 22:51:29.006173099 +0000 UTC m=+17.640388056,9,77148,8493808000,18739200
2026-01-05 22:51:30.00999806 +0000 UTC m=+18.644213016,9,77148,9207601000,18575360
2026-01-05 22:51:31.01266788 +0000 UTC m=+19.646882846,9,77148,9896110000,18649088
2026-01-05 22:51:32.0158202 +0000 UTC m=+20.650035155,9,77148,10558826000,18771968
2026-01-05 22:51:33.01846499 +0000 UTC m=+21.652679946,9,77148,11205872000,19132416
2026-01-05 22:51:34.021547949 +0000 UTC m=+22.655762915,9,77148,11859981000,19193856
2026-01-05 22:51:35.02418978 +0000 UTC m=+23.658404726,9,77148,12534179000,19542016
2026-01-05 22:51:36.02770363 +0000 UTC m=+24.661918585,9,77148,13238564000,19087360
2026-01-05 22:51:37.03012391 +0000 UTC m=+25.664338866,9,77148,13915193000,18653184
2026-01-05 22:51:38.03274285 +0000 UTC m=+26.666957796,9,77148,14584084000,19296256
2026-01-05 22:51:39.03537532 +0000 UTC m=+27.669590296,9,77148,15268565000,19681280
2026-01-05 22:51:40.03826917 +0000 UTC m=+28.672484116,9,77148,15955686000,19755008
2026-01-05 22:51:41.04081681 +0000 UTC m=+29.675031786,9,77148,16630484000,19841024
2026-01-05 22:51:42.043276029 +0000 UTC m=+30.677490995,9,77148,17299442000,19927040
2026-01-05 22:51:43.04654564 +0000 UTC m=+31.680760616,9,77148,17990641000,20107264
2026-01-05 22:51:44.0501164 +0000 UTC m=+32.684331446,9,77148,18671821000,20193280
2026-01-05 22:51:45.05276106 +0000 UTC m=+33.686976026,9,77148,19342110000,20537344
2026-01-05 22:51:46.0560418 +0000 UTC m=+34.690256936,9,77148,20084165000,20324352
2026-01-05 22:51:47.05842876 +0000 UTC m=+35.692643706,9,77148,20784133000,18976768
2026-01-05 22:51:48.061552379 +0000 UTC m=+36.695767335,9,77148,20784133000,18952192
2026-01-05 22:51:49.064068008 +0000 UTC m=+37.698282954,9,77148,20784133000,18952192
2026-01-05 22:51:52.407229515 +0000 UTC m=+41.041444461,0,0,0,0
