script,iteration,request_rate,percentile,latency
mixed-requests.lua,0,800,50.0,1.37
mixed-requests.lua,0,800,75.0,1.66
mixed-requests.lua,0,800,90.0,1.93
mixed-requests.lua,0,800,99.0,2.36
mixed-requests.lua,0,800,99.9,3.05
mixed-requests.lua,0,800,99.99,6.94
mixed-requests.lua,0,800,99.999,7.28
mixed-requests.lua,0,800,100.0,7.28
