time,rss_mb,vms_mb,cpu
1767583967657.7993,181.1015625,20857.4921875,293.62281233956963
1767583967678.3398,183.2578125,20857.4921875,344.5377393916606
1767583967698.8806,184.16796875,20857.4921875,392.23846819255175
1767583967719.3787,184.59375,20857.4921875,344.5094399399237
1767583967739.911,187.3359375,20857.4921875,490.3898047468707
1767583967760.491,188.92578125,20857.9921875,588.3852142807048
1767583967781.0989,189.328125,20857.9921875,733.9114610673684
1767583967801.7085,191.328125,20857.9921875,489.6741579592534
1767583967822.323,191.734375,20857.9921875,586.5339113410716
1767583967843.0073,192.6875,20857.9921875,588.1308264878071
1767583967863.6416,193.54296875,20857.9921875,537.8441164813103
1767583967884.3787,194.34765625,20857.9921875,490.0345826712847
1767583967904.9414,196.7578125,20857.9921875,441.27343503419183
1767583967925.6467,197.453125,20857.9921875,438.28645736578045
1767583967946.321,197.80078125,20857.9921875,342.4241095379131
1767583967966.9412,197.984375,20857.9921875,440.6552967956568
1767583967988.801,198.34375,20857.9921875,323.5953312539319
1767583968009.5398,198.640625,20857.9921875,438.63786472070984
1767583968030.1929,198.98046875,20857.9921875,440.3674245517428
1767583968050.851,199.20703125,20857.9921875,293.4550415709529
1767583968071.5854,199.5078125,20857.9921875,342.2205541244594
1767583968092.2932,199.546875,20857.9921875,341.52391587567604
1767583968112.883,201.87109375,20857.9921875,392.1009628867954
1767583968133.6309,202.04296875,20857.9921875,293.8799761774063
1767583968154.3003,202.44140625,20857.9921875,341.73459814933506
1767583968174.8718,202.68359375,20857.9921875,343.2327332242196
1767583968195.4587,202.984375,20857.9921875,244.67425798021628
1767583968216.0505,203.0234375,20857.9921875,343.1404695954998
1767583968236.6,203.04296875,20857.9921875,196.10089534095442
1767583968257.4514,203.04296875,20857.9921875,242.82991558885084
1767583968278.4016,205.48828125,20857.9921875,389.7056049801402
1767583968299.0874,205.58984375,20857.9921875,391.9956074253207
1767583968319.784,205.91796875,20857.9921875,342.1328206024558
1767583968340.439,206.23828125,20857.9921875,244.94002499445565
1767583968361.112,206.30859375,20857.9921875,293.42424737075106
1767583968381.7854,206.46875,20857.9921875,195.26782201841286
1767583968402.5425,206.46875,20857.9921875,244.54301639497103
1767583968423.2417,206.46875,20857.9921875,195.68917815569102
1767583968443.906,206.546875,20857.9921875,97.88683384482329
1767583968464.6382,206.546875,20857.9921875,439.1175013086714
1767583968485.374,206.96484375,20857.9921875,292.9938061751992
1767583968506.074,209.03125,20857.9921875,341.40477685527276
1767583968526.684,209.55859375,20857.9921875,196.30970127423146
1767583968547.2622,209.5859375,20857.9921875,196.0481905184806
1767583968567.8406,209.5859375,20857.9921875,196.25917997309486
1767583968588.4268,209.8515625,20857.9921875,147.1513507192197
1767583968608.9895,209.8515625,20857.9921875,147.04129759038648
1767583968629.6438,209.8515625,20857.9921875,391.881154816407
