script,iteration,request_rate,percentile,latency
mixed-requests.lua,0,800,50.0,0.95
mixed-requests.lua,0,800,75.0,1.2
mixed-requests.lua,0,800,90.0,1.35
mixed-requests.lua,0,800,99.0,1.51
mixed-requests.lua,0,800,99.9,1.72
mixed-requests.lua,0,800,99.99,2.02
mixed-requests.lua,0,800,99.999,2.13
mixed-requests.lua,0,800,100.0,2.13
