timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage,rx_bytes,tx_bytes
2026-01-05 20:41:32.012874558 +0000 UTC m=+11.578849927,42,77148,38292892000,684945408,864701,632815
2026-01-05 20:41:33.021580811 +0000 UTC m=+12.587556200,49,77148,40272250000,696389632,885473,783921
2026-01-05 20:41:34.023661366 +0000 UTC m=+13.589636745,49,77148,47175283000,768212992,926172,2037786
2026-01-05 20:41:35.02849842 +0000 UTC m=+14.594473778,49,77148,53951676000,918855680,974651,4388878
2026-01-05 20:41:36.035731354 +0000 UTC m=+15.601706723,49,77148,60549615000,1151438848,1040231,8230122
2026-01-05 20:41:37.039588437 +0000 UTC m=+16.605563837,49,77148,67406971000,1480560640,1116208,13504377
2026-01-05 20:41:38.046274791 +0000 UTC m=+17.612250160,49,77148,74443129000,1852870656,1191659,19193278
2026-01-05 20:41:39.054763166 +0000 UTC m=+18.620738524,49,77148,81409575000,2226262016,1272241,25625952
2026-01-05 20:41:40.06444353 +0000 UTC m=+19.630418888,49,77148,88359823000,2603601920,1350175,32117533
2026-01-05 20:41:41.077868974 +0000 UTC m=+20.643844343,49,77148,95166819000,3000590336,1431214,39140711
2026-01-05 20:41:42.082674287 +0000 UTC m=+21.648649647,49,77148,102084111000,3410911232,1514978,46654192
2026-01-05 20:41:43.085344291 +0000 UTC m=+22.651319650,49,77148,109103252000,3870552064,1604144,54810526
2026-01-05 20:41:44.089066656 +0000 UTC m=+23.655042035,49,77148,116015790000,4363857920,1700079,63835715
2026-01-05 20:41:45.09653584 +0000 UTC m=+24.662511229,50,77148,122900587000,4833472512,1784810,71901951
2026-01-05 20:41:46.102729534 +0000 UTC m=+25.668704893,50,77148,129505030000,4852736000,1883245,81473844
2026-01-05 20:41:47.106843767 +0000 UTC m=+26.672819136,50,77148,136522432000,4853465088,1998803,92386321
2026-01-05 20:41:48.110648562 +0000 UTC m=+27.676623921,50,77148,143320445000,4845137920,2110115,103162510
2026-01-05 20:41:49.116685036 +0000 UTC m=+28.682660405,50,77148,150266494000,4846202880,2215638,113721995
2026-01-05 20:41:50.12277353 +0000 UTC m=+29.688748889,50,77148,157202322000,4847194112,2320143,124538479
2026-01-05 20:41:51.131551943 +0000 UTC m=+30.697527343,50,77148,164278814000,4848586752,2439590,136520731
2026-01-05 20:41:52.135357688 +0000 UTC m=+31.701333037,50,77148,171168776000,5058916352,2545533,147266388
2026-01-05 20:41:53.140555552 +0000 UTC m=+32.706530931,50,77148,178338167000,5291098112,2642224,157117445
2026-01-05 20:41:54.146077876 +0000 UTC m=+33.712053235,50,77148,185426123000,5292056576,2764311,169997832
2026-01-05 20:41:55.14878557 +0000 UTC m=+34.714760929,50,77148,192933770000,5293506560,3011635,195884847
2026-01-05 20:41:56.155112095 +0000 UTC m=+35.721087444,50,77148,200558662000,5311209472,3290322,225535198
2026-01-05 20:41:57.158412608 +0000 UTC m=+36.724387967,50,77148,207843789000,6745632768,3552176,253568900
2026-01-05 20:41:58.164691762 +0000 UTC m=+37.730667122,50,77148,214771579000,8141582336,3773868,277509033
2026-01-05 20:41:59.167302706 +0000 UTC m=+38.733278065,50,77148,221901315000,9684824064,4017951,304121349
2026-01-05 20:42:00.178556201 +0000 UTC m=+39.744531559,50,77148,228670906000,11125309440,4248070,329113067
2026-01-05 20:42:01.182229495 +0000 UTC m=+40.748204864,50,77148,235232959000,12706082816,4495862,355906359
2026-01-05 20:42:02.188384969 +0000 UTC m=+41.754360368,49,77148,241658478000,13318311936,4632285,370712752
2026-01-05 20:42:03.228741762 +0000 UTC m=+42.794717122,49,77148,245809170000,13319000064,4767220,385736993
