time,rss_mb,vms_mb,cpu
1767577489882.8005,199.23828125,20729.0625,444.20729583431546
1767577489903.134,204.2421875,21185.09375,396.2404288987015
1767577489923.4792,206.98046875,21704.12109375,345.90160226201834
1767577489943.858,210.20703125,21704.12109375,394.83699092759764
1767577489964.139,212.97265625,21704.12109375,694.4458294404942
1767577489984.4414,213.3359375,21704.12109375,694.9224961242151
1767577490004.695,215.38671875,21704.12109375,645.0485271501259
1767577490025.4827,215.38671875,21704.12109375,628.5774626779636
1767577490045.7627,215.38671875,21704.12109375,644.2558782522364
1767577490066.0198,217.57421875,21704.12109375,694.5690426060448
1767577490086.3564,217.59765625,21704.12109375,642.5930962959466
1767577490106.6843,219.70703125,21704.12109375,692.6273723445648
1767577490127.038,225.8515625,21704.12109375,642.5173750633369
1767577490147.4158,234.4375,21704.12109375,593.358656056592
1767577490167.83,241.12890625,21769.9921875,543.2140721030419
1767577490188.1873,247.88671875,21770.02734375,395.5351337333353
1767577490208.5454,258.7109375,21770.02734375,593.7716537290856
1767577490228.8572,263.60546875,21770.02734375,694.0354344203226
1767577490249.117,263.6484375,21770.02734375,645.3386356104714
1767577490269.4204,265.7890625,21770.02734375,643.959136914959
1767577490289.7231,268.32421875,21770.02734375,297.394547452758
1767577490309.9658,272.51953125,21770.02734375,595.47872176804
1767577490330.2178,274.54296875,21770.02734375,694.5772583716805
1767577490350.58,276.71875,21770.02734375,395.2462689204271
1767577490370.9536,281.5703125,21770.02734375,444.9140904001407
1767577490391.3374,282.64453125,21770.02734375,543.3612135059078
1767577490411.7893,285.6328125,21770.02734375,689.7959049420263
1767577490432.207,306.12890625,21770.02734375,739.8666431469369
1767577490452.5913,306.515625,21770.02734375,543.1820953861065
1767577490473.2786,306.87109375,21770.02734375,681.7868496522518
1767577490493.6926,307.2265625,21770.02734375,592.1997387958775
1767577490514.0356,315.20703125,21770.02734375,643.3437005922975
1767577490534.3643,321.4765625,21771.03125,742.8718517906289
1767577490554.6772,321.5546875,21965.0390625,693.5927522708241
1767577490574.9824,321.75390625,21965.0390625,544.9013711896652
1767577490595.2788,322.703125,21965.0390625,693.5927522708197
1767577490615.6287,337.078125,21965.0390625,692.0722712647456
1767577490635.9863,359.12890625,21965.0390625,693.0442828816904
1767577490656.335,383.31640625,21965.0390625,593.7086169271606
1767577490676.738,405.6171875,21965.0390625,641.8593525603335
1767577490697.073,425.65234375,21965.0390625,693.3225021843326
1767577490717.443,446.2421875,21965.0390625,642.6991360105651
1767577490737.7727,470.4140625,21965.0390625,693.1751817924202
1767577490758.0789,492.6484375,21965.0390625,742.9858995252622
1767577490779.4768,514.70703125,21965.0390625,657.6132059623961
1767577490799.8872,536.78515625,21965.0390625,690.4447658353645
1767577490820.263,589.3125,21965.0390625,790.5484102769506
1767577490840.6125,589.58203125,21965.0390625,741.3749381348472
1767577490861.3633,589.68359375,21965.0390625,776.5521933834002
1767577490881.7466,589.98828125,21965.0390625,741.6546033242975
1767577490902.1272,590.04296875,21965.0390625,791.1728560986544
1767577490922.5073,590.296875,21965.0390625,790.2598210080082
1767577490942.893,590.45703125,21965.0390625,642.5098039215637
1767577490963.24,590.875,21965.0390625,692.8807287487639
1767577490983.61,590.99609375,21965.0390625,840.0269550670339
1767577491003.982,591.37890625,21965.0390625,791.6208271403975
1767577491024.317,591.58984375,21965.0390625,792.5276521369447
1767577491045.019,591.8203125,21965.0390625,777.7491597709949
1767577491065.36,592.0703125,21965.0390625,742.9508041850706
1767577491085.688,592.16015625,21965.0390625,792.82726682025
1767577491106.0276,592.59765625,21965.0390625,790.5297852540324
1767577491126.4314,604.80859375,21965.0390625,789.7947981640586
1767577491146.8494,640.8671875,21965.0390625,691.3877853787133
1767577491167.223,688.8984375,21965.0390625,791.0422933660245
1767577491187.5867,689.03515625,21965.0390625,790.8185717652611
1767577491207.916,689.11328125,21965.0390625,742.2058112237003
1767577491228.3223,689.421875,21965.0390625,790.4366733018463
1767577491248.6992,689.6328125,21965.0390625,790.4459835100125
1767577491269.0786,689.69140625,21965.0390625,741.7945150564871
1767577491291.6724,689.73046875,21965.0390625,757.4886912919147
1767577491312.061,690.18359375,21965.0390625,791.0049976426309
1767577491332.5205,704.55859375,21965.0390625,639.9459180320124
1767577491352.9304,735.1015625,21965.0390625,790.9583829335854
1767577491373.302,769.19140625,21965.0390625,740.5807917319006
1767577491393.7886,807.55078125,21965.0390625,737.2742400450014
1767577491414.2407,845.8515625,21965.0390625,788.5141702307664
1767577491434.6768,882.0859375,21965.0390625,691.428490686003
1767577491455.064,918.3359375,21965.0390625,691.1680595117616
1767577491475.4355,948.61328125,21965.0390625,741.8819866987424
1767577491495.839,948.69140625,21965.0390625,790.3249679083304
1767577491516.3237,948.86328125,21965.0390625,786.2784299941337
1767577491536.7168,949.25390625,21965.0390625,789.8319798507646
1767577491557.0757,949.37109375,21965.0390625,691.5017723188554
1767577491577.5132,949.49609375,21965.0390625,838.5549740682807
1767577491597.8936,949.80859375,21965.0390625,741.8469955664665
1767577491618.2505,950.00390625,21965.0390625,692.3578738857561
1767577491643.912,950.28515625,21965.0390625,823.2119331563899
1767577491664.285,950.55078125,21965.0390625,790.9397385882831
1767577491684.6736,950.6640625,21965.0390625,740.9645620605519
1767577491705.0415,950.77734375,21965.0390625,791.4341109040741
1767577491725.7227,950.94140625,21965.0390625,778.5522001925827
1767577491746.1167,951.140625,21965.0390625,790.5856629557644
1767577491766.5266,951.37109375,21965.0390625,789.0704543316809
1767577491791.1685,951.6171875,21965.0390625,735.2838193186454
1767577491811.5986,951.765625,21965.0390625,740.075519638628
1767577491832.0151,951.91796875,21965.0390625,790.6788100147282
1767577491852.4443,952.078125,21965.0390625,740.7900717069657
1767577491872.8523,952.2578125,21965.0390625,790.6322337417538
1767577491893.261,952.5703125,21965.0390625,740.3280694735461
1767577491913.6611,952.74609375,21965.0390625,790.4087439932166
1767577491934.0137,952.86328125,21965.0390625,790.6042906117664
1767577491954.4136,952.99609375,21965.0390625,741.3137894873381
1767577491974.809,953.29296875,21965.0390625,642.1692871191461
1767577491995.185,953.734375,21965.0390625,740.3367811628586
1767577492015.6062,965.9609375,21965.0390625,740.4674811100841
1767577492036.0278,966.18359375,21965.0390625,790.6322337417538
1767577492056.4368,966.3828125,21965.0390625,741.1216736756477
1767577492076.8335,966.6875,21965.0390625,740.8773066098387
1767577492097.3784,966.87890625,21965.0390625,833.9746894664287
1767577492117.7607,967.11328125,21965.0390625,741.6808327537152
1767577492138.2598,967.28125,21965.0390625,737.377933006738
1767577492158.6758,967.390625,21965.0390625,542.4731804820666
1767577492179.238,969.69140625,21965.0390625,788.7922142034375
1767577492199.6455,1014.74609375,21965.0390625,789.8877589454044
1767577492220.0571,1058.984375,21965.0390625,641.8820205539876
1767577492240.479,1101.1875,21965.0390625,642.6309636055014
1767577492260.8584,1139.38671875,21965.0390625,740.851133981782
1767577492281.7485,1181.859375,21965.0390625,771.1535208677901
1767577492302.114,1212.12109375,21965.0390625,741.3924110299422
1767577492322.4922,1258.21875,21965.0390625,691.6320891391177
1767577492342.8613,1296.48828125,21965.0390625,691.9173284943175
1767577492363.2595,1344.7109375,21965.0390625,690.9240834000123
1767577492383.6365,1380.99609375,21965.0390625,691.387785378722
1767577492404.0374,1381.296875,21965.0390625,741.7070640384902
1767577492424.4314,1381.44921875,21965.0390625,790.6788100147107
1767577492444.8208,1381.6171875,21965.0390625,741.5584446199291
1767577492465.2197,1381.75,21965.0390625,741.2788519317203
1767577492485.6887,1381.921875,21965.0390625,443.16951361250943
1767577492508.673,1388.0,21965.0390625,746.8881184073997
1767577492529.1365,1416.09765625,21965.0390625,787.940166725391
1767577492549.5671,1416.171875,21965.0390625,740.729019497026
1767577492569.9636,1416.30859375,21965.0390625,740.5023422235928
1767577492590.4028,1416.52734375,21965.0390625,789.6089422284806
1767577492610.8203,1416.796875,21965.0390625,790.1202566668811
1767577492631.2805,1417.05859375,21965.0390625,738.8500563697788
1767577492651.6768,1417.09765625,21965.0390625,740.8685821950176
1767577492672.113,1417.2265625,21965.0390625,740.6418195088575
1767577492692.5393,1417.27734375,21965.0390625,690.7371516627288
1767577492712.9563,1417.27734375,21965.0390625,690.5015992474158
1767577492733.395,1417.27734375,21965.0390625,592.0325589601885
1767577492753.8457,1417.6953125,21965.0390625,590.9690024422367
1767577492774.2473,1417.8359375,21965.0390625,691.6076509940491
1767577492794.5925,1418.0,21965.0390625,692.235443903477
1767577492814.975,1418.24609375,21965.0390625,593.4426090339798
1767577492835.358,1418.30859375,21965.0390625,542.8433734939906
1767577492855.7466,1418.375,21965.0390625,592.4018737788532
1767577492876.0183,1418.40625,21965.0390625,396.59636432403477
1767577492896.2883,1418.55859375,21965.0390625,446.1761834406943
1767577492916.672,1418.55859375,21965.0390625,492.9893393199332
1767577492937.0486,1418.55859375,21965.0390625,494.97321154618464
1767577492957.4268,1418.859375,21965.0390625,394.679087711861
1767577492977.9343,1419.5625,21965.5390625,492.77503642089147
1767577492998.4546,1419.5625,21965.5390625,441.80538845064416
1767577493018.8171,1419.5625,21965.5390625,395.59109182868366
1767577493039.1772,1419.58984375,21965.5390625,395.1904083291046
1767577493059.5754,1419.84765625,21965.5390625,444.87214358950115
1767577493079.972,1419.84765625,21965.5390625,445.4706333565236
1767577493100.3625,1419.84765625,21965.5390625,296.74929544247937
1767577493120.7996,1419.84765625,21965.5390625,639.3006448587299
1767577493141.1714,1419.84765625,21965.5390625,543.3740121777404
1767577493161.572,1419.88671875,21965.5390625,346.2360904738333
1767577493181.958,1419.88671875,21965.5390625,394.6187463248356
1767577493202.3418,1419.88671875,21965.5390625,445.3287402968164
1767577493222.657,1419.88671875,21965.5390625,395.76839696636455
1767577493242.987,1419.88671875,21965.5390625,395.4558868591548
1767577493263.3572,1419.88671875,21965.5390625,345.5392908001756
1767577493283.7498,1419.88671875,21965.5390625,543.5916818851399
1767577493304.113,1419.88671875,21965.5390625,396.0159565679132
1767577493324.41,1419.88671875,21965.5390625,297.022483977964
1767577493344.7454,1419.88671875,21965.5390625,444.9927619945767
1767577493365.126,1419.88671875,21965.5390625,345.8364116095001
1767577493385.4453,1419.88671875,21965.5390625,346.7185640056522
1767577493405.7734,1419.88671875,21965.5390625,346.22384169998134
1767577493426.1826,1419.88671875,21965.5390625,493.51720242858516
1767577493446.5586,1419.88671875,21965.5390625,445.48640483383616
1767577493466.8633,1419.88671875,21965.5390625,395.8711199726205
1767577493487.2483,1419.88671875,21965.5390625,345.5148926154765
1767577493507.797,1419.88671875,21965.5390625,540.1297603577805
1767577493528.1743,1429.70703125,21965.5390625,593.5475836694135
1767577493548.5261,1471.70703125,21965.5390625,395.19040832912214
1767577493568.8862,1497.70703125,21965.5390625,444.66776610281227
1767577493589.2585,1527.70703125,21965.5390625,493.9472878441612
1767577493609.5857,1561.90234375,21965.5390625,346.2687581082865
1767577493629.9387,1588.36328125,21965.5390625,395.0461748569636
1767577493650.318,1616.36328125,21965.5390625,444.4478771752002
1767577493670.6768,1648.36328125,21965.5390625,493.9996466639255
1767577493691.0237,1682.36328125,21965.5390625,444.9193343076698
1767577493711.3125,1704.36328125,21965.5390625,396.20767750240026
1767577493731.6501,1732.36328125,21965.5390625,544.2521587316538
1767577493751.9834,1766.37890625,21965.5390625,445.8125989087552
1767577493772.3728,1796.37890625,21965.5390625,296.16259282359647
1767577493792.8381,1820.39453125,21965.5390625,492.54935118314364
1767577493813.301,1852.40234375,21965.5390625,443.3516865545422
1767577493833.671,1884.40234375,21965.5390625,395.5491217729668
1767577493854.0764,1912.40234375,21965.5390625,394.18761086896944
1767577493874.5056,1938.40234375,21965.5390625,444.23343336275303
1767577493894.8833,1970.4453125,21965.5390625,444.935066771961
1767577493915.1973,2004.4453125,21965.5390625,395.6983891129423
1767577493935.6047,2026.56640625,21965.5390625,345.0154880255719
1767577493956.0398,2054.56640625,21965.5390625,493.6333678561235
1767577493976.426,2090.56640625,21965.5390625,542.9583637347866
1767577493996.8267,2094.86328125,21965.5390625,543.578872957353
1767577494017.254,2095.375,21965.5390625,690.2986657261946
1767577494037.6697,2096.04296875,21965.5390625,543.1629111629084
1767577494058.0552,2096.62109375,21965.5390625,395.0043203409451
1767577494078.4429,2096.79296875,21965.5390625,345.881227543148
1767577494098.8618,2096.79296875,21965.5390625,394.4331961913634
1767577494119.195,2096.79296875,21965.5390625,444.9875163560484
1767577494139.529,2096.79296875,21965.5390625,346.48124808232575
1767577494159.9214,2096.79296875,21965.5390625,394.45638041496835
1767577494180.328,2097.05078125,21965.5390625,345.3117083210834
1767577494200.6858,2097.05078125,21965.5390625,395.87111997263804
1767577494221.1401,2097.05078125,21965.5390625,393.70197587646413
1767577494241.7512,2097.1328125,21965.5390625,834.7264489996688
1767577494262.1484,2097.15234375,21965.5390625,642.1995406630891
1767577494282.5312,2097.4609375,21965.5390625,395.16713774261325
1767577494302.8882,2097.51953125,21965.5390625,296.5045537555165
1767577494323.2554,2097.51953125,21965.5390625,395.6330707918782
1767577494343.5603,2097.51953125,21965.5390625,395.99258865875123
1767577494363.8923,2097.51953125,21965.5390625,345.88530229488043
1767577494384.3076,2097.51953125,21965.5390625,394.79053569118366
1767577494404.7078,2097.51953125,21965.5390625,395.28817472845094
1767577494425.0337,2097.51953125,21965.5390625,346.5794083622556
1767577494445.3918,2097.51953125,21965.5390625,296.30556209674745
1767577494465.8474,2097.51953125,21965.5390625,395.3114595728053
1767577494486.9028,2097.51953125,21965.5390625,381.98185398951284
1767577494507.2449,2097.62890625,21965.5390625,346.35045417012634
1767577494527.5981,2097.62890625,21965.5390625,395.3300894235103
1767577494548.0288,2097.62890625,21965.5390625,395.036873086894
1767577494568.4502,2097.62890625,21965.5390625,296.1242586839813
1767577494588.8171,2097.62890625,21965.5390625,395.4325849979468
1767577494609.2087,2097.62890625,21965.5390625,394.59554301169265
