timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage
2026-01-05 22:48:16.0517902 +0000 UTC m=+0.676727765,5,77148,50767000,12029952
2026-01-05 22:48:17.05310585 +0000 UTC m=+1.678043435,21,77148,4064032000,155488256
2026-01-05 22:48:18.06318546 +0000 UTC m=+2.688123035,25,77148,8151289000,447324160
2026-01-05 22:48:19.065907731 +0000 UTC m=+3.690845296,24,77148,12390837000,523423744
2026-01-05 22:48:20.069209641 +0000 UTC m=+4.694147196,26,77148,16624039000,546775040
2026-01-05 22:48:21.071789051 +0000 UTC m=+5.696726666,30,77148,20242731000,594038784
2026-01-05 22:48:22.075785561 +0000 UTC m=+6.700723106,30,77148,22065443000,617713664
2026-01-05 22:48:23.079644492 +0000 UTC m=+7.704582047,30,77148,25928171000,656379904
2026-01-05 22:48:24.082930172 +0000 UTC m=+8.707867727,42,77148,30328867000,674082816
2026-01-05 22:48:25.086212172 +0000 UTC m=+9.711149727,50,77148,37556214000,678682624
2026-01-05 22:48:26.090024442 +0000 UTC m=+10.714961987,50,77148,45054246000,760238080
2026-01-05 22:48:27.093294863 +0000 UTC m=+11.718232437,50,77148,52457357000,894296064
2026-01-05 22:48:28.095852583 +0000 UTC m=+12.720790138,51,77148,59913633000,1038561280
2026-01-05 22:48:29.099439303 +0000 UTC m=+13.724376858,51,77148,66836506000,1248632832
2026-01-05 22:48:30.103070543 +0000 UTC m=+14.728008099,51,77148,73761634000,1459081216
2026-01-05 22:48:31.106839244 +0000 UTC m=+15.731776809,51,77148,80705313000,1667764224
2026-01-05 22:48:32.109863304 +0000 UTC m=+16.734800849,51,77148,87633088000,1909719040
2026-01-05 22:48:33.112809314 +0000 UTC m=+17.737746859,51,77148,94439833000,2213048320
2026-01-05 22:48:34.115892744 +0000 UTC m=+18.740830389,51,77148,101266744000,2475220992
2026-01-05 22:48:35.120001634 +0000 UTC m=+19.744939189,51,77148,108118504000,2759503872
2026-01-05 22:48:36.123061745 +0000 UTC m=+20.747999310,51,77148,114886633000,3088506880
2026-01-05 22:48:37.125727935 +0000 UTC m=+21.750665500,51,77148,121784381000,3377508352
2026-01-05 22:48:38.128702486 +0000 UTC m=+22.753640051,51,77148,128454233000,3669024768
2026-01-05 22:48:39.131823085 +0000 UTC m=+23.756760730,51,77148,134643391000,3897278464
2026-01-05 22:48:40.134478716 +0000 UTC m=+24.759416281,51,77148,140430690000,4103393280
2026-01-05 22:48:41.137918686 +0000 UTC m=+25.762856241,51,77148,145936651000,4302708736
2026-01-05 22:48:42.141493486 +0000 UTC m=+26.766431061,51,77148,151107461000,4504973312
2026-01-05 22:48:43.144310466 +0000 UTC m=+27.769248051,51,77148,156906067000,4833484800
2026-01-05 22:48:44.146883526 +0000 UTC m=+28.771821111,50,77148,161992972000,5054447616
2026-01-05 22:48:45.149561727 +0000 UTC m=+29.774499281,49,77148,163900351000,5054357504
2026-01-05 22:48:46.152240037 +0000 UTC m=+30.777177582,49,77148,165626271000,5054545920
2026-01-05 22:48:47.155307657 +0000 UTC m=+31.780245212,49,77148,167420327000,5045968896
2026-01-05 22:48:48.159110168 +0000 UTC m=+32.784047722,49,77148,169154495000,5047164928
2026-01-05 22:48:49.161595107 +0000 UTC m=+33.786532652,49,77148,170837240000,5046272000
2026-01-05 22:48:50.166661187 +0000 UTC m=+34.791598743,49,77148,172652214000,5046398976
2026-01-05 22:48:51.169630068 +0000 UTC m=+35.794567613,49,77148,174610770000,5046505472
2026-01-05 22:48:52.173282478 +0000 UTC m=+36.798220023,49,77148,176422929000,5046640640
2026-01-05 22:48:53.176167208 +0000 UTC m=+37.801104773,49,77148,178256715000,5046734848
2026-01-05 22:48:54.188352968 +0000 UTC m=+38.813290563,49,77148,179683801000,5046792192
2026-01-05 22:48:55.190510949 +0000 UTC m=+39.815448544,49,77148,179707908000,5046771712
2026-01-05 22:48:56.19282883 +0000 UTC m=+40.817766375,48,77148,179727979000,5046685696
