time,rss_mb,vms_mb,cpu
1767575667951.4546,77.078125,1420.4765625,0.0
1767575667971.6711,79.91796875,1420.4765625,49.6784754053702
1767575667992.0427,81.03515625,1420.9765625,49.39472878441718
1767575668012.3289,81.80859375,1420.9765625,0.0
1767575668032.5635,81.80859375,1420.9765625,0.0
1767575668052.803,81.80859375,1420.9765625,0.0
1767575668073.0195,82.49609375,1422.9765625,49.66141750929454
1767575668093.2346,83.5234375,1423.9765625,0.0
1767575668113.4412,83.5234375,1423.9765625,0.0
1767575668133.667,83.78125,1423.9765625,49.62674964799985
1767575668153.8704,84.546875,1424.4765625,0.0
1767575668174.1016,85.57421875,1424.4765625,0.0
1767575668194.3567,85.57421875,1424.4765625,49.58978481910615
1767575668214.5823,85.57421875,1424.4765625,0.0
1767575668234.8215,85.57421875,1424.4765625,0.0
1767575668255.0474,85.83203125,1424.4765625,0.0
1767575668275.2927,86.265625,1424.9765625,0.0
1767575668295.517,86.5234375,1424.9765625,0.0
1767575668315.7773,87.296875,1424.9765625,99.12917291989177
1767575668335.9924,87.5546875,1424.9765625,0.0
1767575668356.1978,87.66796875,1426.4765625,0.0
1767575668376.4067,87.8828125,1427.9765625,49.65671394407215
1767575668396.6553,88.140625,1427.9765625,0.0
1767575668416.884,88.39453125,1427.9765625,0.0
1767575668437.0964,88.65234375,1428.4765625,0.0
1767575668457.4006,88.91015625,1428.4765625,0.0
1767575668477.7708,89.16796875,1428.4765625,0.0
1767575668498.0938,89.67578125,1428.4765625,49.48097114409084
1767575668518.3718,89.9296875,1428.4765625,0.0
1767575668538.654,90.1875,1428.4765625,0.0
1767575668558.9563,90.43359375,1428.9765625,98.95960739901852
1767575668579.3157,91.20703125,1428.9765625,0.0
1767575668599.6245,91.46484375,1429.4765625,0.0
1767575668619.8857,91.7109375,1430.4765625,49.57395960145132
1767575668640.1394,92.0546875,1431.9765625,0.0
1767575668660.4417,92.0546875,1431.9765625,0.0
1767575668680.6917,92.56640625,1431.9765625,0.0
1767575668700.9353,92.56640625,1432.4765625,49.59858097321592
1767575668721.2236,93.33984375,1432.4765625,0.0
1767575668741.4753,93.33984375,1432.4765625,0.0
1767575668761.7056,93.59375,1432.4765625,0.0
1767575668781.9294,94.1015625,1432.4765625,0.0
1767575668802.3645,94.1015625,1432.4765625,49.142977656445794
1767575668822.6472,94.60546875,1432.9765625,0.0
1767575668842.8757,94.60546875,1432.9765625,0.0
1767575668863.1016,94.86328125,1432.9765625,49.629685725104174
1767575668883.3271,95.625,1434.4765625,0.0
1767575668903.549,95.87109375,1434.9765625,0.0
1767575668923.7842,96.19140625,1435.9765625,0.0
1767575668944.107,96.19140625,1435.9765625,49.4104397610942
1767575668964.357,96.75390625,1435.9765625,0.0
1767575668984.5757,96.75390625,1436.4765625,0.0
1767575669004.8008,97.01171875,1436.4765625,49.63438417116354
1767575669025.0164,97.26953125,1436.4765625,0.0
1767575669045.3237,98.03125,1436.4765625,49.45646637109711
1767575669065.563,98.2890625,1436.4765625,0.0
1767575669085.8003,98.2890625,1436.4765625,0.0
1767575669106.0247,98.8046875,1436.9765625,49.63555892168223
1767575669126.2473,98.8046875,1436.9765625,0.0
1767575669146.491,99.0625,1436.9765625,0.0
1767575669166.7246,99.33984375,1437.9765625,49.63908350691161
1767575669186.9712,99.84375,1438.9765625,0.0
1767575669207.2305,100.33203125,1439.9765625,0.0
1767575669227.5356,100.33203125,1439.9765625,0.0
1767575669247.7974,100.84375,1439.9765625,49.596235027019404
1767575669268.0054,100.84375,1440.4765625,49.68200608838814
1767575669288.2395,101.1015625,1440.4765625,0.0
1767575669308.5154,101.35546875,1440.4765625,0.0
1767575669328.7576,101.8671875,1440.4765625,49.60914047807733
1767575669349.0032,102.37890625,1440.4765625,0.0
1767575669369.2358,102.625,1440.9765625,0.0
1767575669389.482,102.8828125,1440.9765625,0.0
1767575669409.695,102.8828125,1440.9765625,0.0
1767575669429.939,103.140625,1440.9765625,49.59330290633059
1767575669450.1782,103.38671875,1441.9765625,0.0
1767575669470.4302,103.890625,1442.9765625,0.0
1767575669490.7068,104.39453125,1443.9765625,49.58685346101559
1767575669510.9465,104.39453125,1443.9765625,0.0
1767575669531.195,104.90625,1444.4765625,49.59975402954015
1767575669551.4187,104.90625,1444.4765625,0.0
1767575669571.6453,105.1640625,1444.4765625,0.0
1767575669591.874,105.41796875,1444.4765625,0.0
1767575669612.0757,105.671875,1444.4765625,49.67200378967291
1767575669632.2886,106.18359375,1444.4765625,0.0
1767575669652.515,106.44140625,1444.4765625,0.0
1767575669672.7495,106.6875,1444.9765625,0.0
1767575669692.978,106.9453125,1444.9765625,49.63673372781069
1767575669713.1785,107.203125,1444.9765625,0.0
1767575669733.3875,107.44921875,1446.4765625,0.0
1767575669753.616,107.91015625,1447.9765625,0.0
1767575669773.8164,108.42578125,1447.9765625,49.677298622543894
1767575669794.091,108.42578125,1447.9765625,0.0
1767575669814.3328,108.6796875,1447.9765625,0.0
