time,rss_mb,vms_mb,cpu
1767576326680.9375,211.96875,1794.640625,197.34418632006108
1767576326701.269,211.96875,1794.640625,346.63669421487606
1767576326721.5676,211.96875,1794.640625,346.54259174014146
1767576326741.9849,220.62109375,1804.140625,443.0238830143067
1767576326762.3699,229.61328125,2313.16796875,395.48851407894506
1767576326782.7268,230.640625,2313.16796875,346.1054815513383
1767576326803.0547,231.15234375,2313.16796875,296.70031478796
1767576326823.3477,231.41015625,2313.16796875,247.99877014770075
1767576326843.9912,238.3125,2323.66796875,243.21009416894765
1767576326864.351,239.828125,2324.16796875,692.1864840333362
1767576326884.644,240.85546875,2324.16796875,297.03650720583573
1767576326905.0125,241.109375,2324.16796875,345.3238926395524
1767576326925.3948,241.36328125,2324.16796875,345.9708942648743
1767576326945.763,242.703125,2325.66796875,296.037172534672
1767576326966.1838,243.21484375,2325.66796875,295.99887085391697
1767576326986.51,243.47265625,2325.66796875,346.70628107176316
1767576327006.7974,243.47265625,2325.66796875,247.58594635436256
1767576327027.099,243.47265625,2325.66796875,346.3136861722824
1767576327047.39,243.47265625,2325.66796875,297.334814149673
1767576327067.8184,245.14453125,2331.16796875,344.8655429611807
1767576327088.1943,245.14453125,2331.16796875,296.3613924348771
1767576327108.5415,245.91796875,2331.16796875,296.48359467960836
1767576327128.9956,246.43359375,2331.16796875,344.65098370662565
1767576327149.341,246.9453125,2331.16796875,345.7631014909205
1767576327169.6829,247.7109375,2331.16796875,296.4277182939329
1767576327190.0344,249.95703125,2336.66796875,345.8364116094979
1767576327210.3735,250.52734375,2336.66796875,346.44036437438194
1767576327230.675,251.04296875,2336.66796875,247.39026317962424
1767576327251.0132,251.30078125,2336.66796875,345.73460039330814
1767576327271.4004,251.55859375,2336.66796875,295.936216750159
1767576327291.8333,252.58984375,2336.66796875,295.92577697816375
1767576327312.2375,253.36328125,2336.66796875,345.6491252854859
1767576327332.6162,255.44921875,2341.66796875,345.7183161613202
1767576327353.0315,255.70703125,2341.66796875,296.21139608517075
1767576327373.4302,256.21484375,2341.66796875,296.42422671912203
1767576327393.8477,256.73046875,2341.66796875,296.0093157839023
1767576327414.2034,256.98828125,2341.66796875,296.96990866394276
1767576327434.5437,256.98828125,2341.66796875,296.3962970814786
1767576327454.9265,257.50390625,2341.66796875,395.58176437994445
1767576327475.2046,259.26953125,2346.66796875,247.7409599414078
1767576327495.4988,259.5234375,2346.66796875,346.5834995809372
1767576327515.9324,260.5546875,2346.66796875,295.74146238277694
1767576327536.237,260.5546875,2346.66796875,296.882324489481
1767576327556.5793,260.5546875,2346.66796875,346.1422053500916
1767576327576.8772,261.06640625,2346.66796875,297.04702549574876
1767576327597.2097,261.32421875,2346.66796875,346.57531724015956
1767576327617.5686,262.796875,2351.16796875,296.1660782375395
1767576327638.0176,263.0546875,2351.16796875,345.31983110452387
1767576327658.3735,263.3125,2351.16796875,247.14245309701053
1767576327678.7332,263.828125,2351.16796875,296.53599792614267
1767576327699.0457,264.33984375,2351.16796875,297.19786955135424
1767576327719.4138,264.59765625,2351.16796875,296.3474328780031
1767576327739.8044,264.59765625,2351.16796875,345.6084377059979
1767576327760.2207,266.390625,2355.66796875,345.693892689361
1767576327780.6084,266.90625,2355.66796875,296.4870876531577
1767576327800.9236,266.90625,2355.66796875,296.79129173398775
1767576327821.2788,267.1640625,2355.66796875,296.77029210250146
1767576327841.626,267.421875,2355.66796875,296.30207339903023
1767576327861.9553,267.9375,2355.66796875,297.1136586344932
1767576327882.3357,268.453125,2355.66796875,295.97798320513533
1767576327902.6846,268.7109375,2355.66796875,346.4935150764161
1767576327923.0378,269.796875,2359.16796875,296.9664043047784
1767576327943.3289,270.0546875,2359.16796875,247.5567202587521
1767576327963.6934,270.3125,2359.16796875,345.72238707550423
1767576327984.0781,270.5703125,2359.16796875,296.73879822658046
1767576328004.3818,270.828125,2359.16796875,346.32594130414407
1767576328024.7227,270.828125,2359.16796875,296.3718629656217
1767576328045.0676,271.0859375,2359.16796875,296.9383724085876
1767576328065.4104,272.50390625,2362.66796875,296.3683727065055
1767576328085.7263,276.3671875,2362.66796875,495.65172177447766
1767576328105.991,276.625,2362.66796875,297.5985241772431
1767576328126.3215,276.625,2362.66796875,296.5045537555209
1767576328146.63,276.625,2362.66796875,297.6090823084225
1767576328166.9656,276.8828125,2362.66796875,346.0850828078004
1767576328187.36,276.8828125,2362.66796875,345.59623329997936
1767576328207.6611,277.140625,2362.66796875,346.4771592773117
1767576328228.058,277.3984375,2362.66796875,296.3683727065055
1767576328248.4255,277.3984375,2362.66796875,296.9103458039835
1767576328268.739,277.3984375,2362.66796875,297.06806431050165
1767576328289.0383,277.65625,2362.66796875,296.9173519591327
1767576328309.393,278.4296875,2362.66796875,296.54648079846146
1767576328329.7788,278.4296875,2362.66796875,346.03205732604766
1767576328350.1445,278.9453125,2362.66796875,296.69331887149957
1767576328370.458,278.9453125,2362.66796875,296.822796754107
1767576328390.7747,278.9453125,2362.66796875,346.0973217653686
1767576328411.1685,279.64453125,2364.16796875,345.5718270735999
1767576328431.5615,279.90234375,2364.16796875,296.33696407333946
1767576328451.9072,280.16015625,2364.16796875,246.9532859952226
1767576328472.2305,280.41796875,2364.16796875,346.10956158860466
1767576328492.5525,280.41796875,2364.16796875,346.2891785103511
1767576328512.8867,280.67578125,2364.16796875,247.0201889326006
1767576328533.283,280.67578125,2364.16796875,345.85678104863587
1767576328553.6082,281.1875,2364.16796875,296.9909365558937
1767576328573.9626,283.26171875,2369.16796875,296.13819722287843
1767576328594.3528,283.57421875,2369.16796875,345.0398157288596
1767576328614.742,283.83203125,2369.16796875,296.3718629656173
1767576328635.127,283.83203125,2369.16796875,345.1087628563047
1767576328655.4358,283.83203125,2369.16796875,296.91384884022995
1767576328675.856,284.34765625,2369.16796875,344.4609374083387
1767576328696.2449,284.86328125,2369.16796875,296.5220219158694
1767576328716.552,285.12109375,2369.16796875,346.40357728565334
1767576328736.9172,285.63671875,2369.16796875,296.33347463614774
1767576328757.3508,286.54296875,2372.16796875,295.64418129273525
1767576328777.6995,287.0546875,2372.16796875,396.2310708043982
1767576328798.0068,287.3125,2372.16796875,297.4718850104636
1767576328818.2676,287.3125,2372.16796875,297.4121206391207
1767576328838.5652,287.5703125,2372.16796875,296.95939583456055
1767576328858.9302,287.828125,2372.16796875,346.08100334764123
1767576328879.267,288.08203125,2372.16796875,296.5255157949247
1767576328899.5781,288.08203125,2372.16796875,296.80179266423175
1767576328919.9678,288.3359375,2372.16796875,345.7508861594277
1767576328940.2605,288.90234375,2375.16796875,346.5794083622512
1767576328960.57,289.16015625,2375.16796875,296.92085516069466
1767576328980.9316,289.16015625,2375.16796875,247.3406614143546
1767576329001.2742,289.16015625,2375.16796875,345.8690038639162
1767576329021.5894,289.41796875,2375.16796875,247.31440970788972
1767576329041.899,289.93359375,2375.16796875,347.02181878353923
1767576329062.2073,289.93359375,2375.16796875,296.80879369721936
1767576329082.55,289.93359375,2375.16796875,296.95589172350566
1767576329102.8462,290.19140625,2375.16796875,296.96290002831427
1767576329123.2231,290.83984375,2378.66796875,296.3055620967387
1767576329143.5632,291.09765625,2378.66796875,345.881227543148
1767576329164.0007,291.09765625,2378.66796875,295.6615482218618
1767576329184.4053,291.35546875,2378.66796875,296.5150344047531
1767576329204.807,291.35546875,2378.66796875,345.5108265863229
1767576329225.1436,291.61328125,2378.66796875,247.06966223301208
1767576329245.4646,291.87109375,2378.66796875,296.8262977247822
1767576329265.8381,291.87109375,2378.66796875,296.5919151443661
1767576329286.23,292.12890625,2378.66796875,296.81579506050775
1767576329306.57,292.90625,2382.16796875,345.9056774938456
1767576329326.8896,293.41796875,2382.16796875,247.60056199010967
1767576329347.2188,293.41796875,2382.16796875,296.71080928126133
1767576329367.5166,293.41796875,2382.16796875,346.46080502224515
1767576329387.8594,293.41796875,2382.16796875,296.3613924348793
1767576329408.2322,294.19140625,2382.16796875,296.76329288569076
1767576329428.583,294.19140625,2382.16796875,296.82979877805377
1767576329448.9172,294.19140625,2382.16796875,296.81929586600774
1767576329469.24,294.70703125,2382.16796875,296.60240197060835
1767576329489.5435,294.70703125,2382.16796875,346.40357728565334
1767576329509.8945,295.71875,2385.66796875,296.16607823753077
1767576329530.2605,295.71875,2385.66796875,296.23231669276197
1767576329550.5378,295.71875,2385.66796875,297.32778827977563
