timestamp,pid_count,pid_count_Limit,cpu_usage,memory_usage,rx_bytes,tx_bytes
2026-01-05 20:34:05.564379774 +0000 UTC m=+11.977427537,41,77148,37566509000,705089536,886457,648691
2026-01-05 20:34:06.570628175 +0000 UTC m=+12.983675908,48,77148,39511315000,710275072,907010,788778
2026-01-05 20:34:07.579611976 +0000 UTC m=+13.992659739,49,77148,46460362000,767885312,944288,1881476
2026-01-05 20:34:08.582938407 +0000 UTC m=+14.995986130,49,77148,53291623000,919146496,991930,4130782
2026-01-05 20:34:09.585286769 +0000 UTC m=+15.998334512,49,77148,59999541000,1158172672,1057580,7903336
2026-01-05 20:34:10.59325233 +0000 UTC m=+17.006300103,49,77148,66887612000,1451216896,1131701,13074135
2026-01-05 20:34:11.597593011 +0000 UTC m=+18.010640764,49,77148,73764979000,1810391040,1208816,18903388
2026-01-05 20:34:12.607066913 +0000 UTC m=+19.020114646,49,77148,80257930000,2192695296,1288593,25178084
2026-01-05 20:34:13.612377344 +0000 UTC m=+20.025425097,49,77148,87168204000,2557849600,1362275,31251562
2026-01-05 20:34:14.624598145 +0000 UTC m=+21.037645878,49,77148,94049283000,2934235136,1440264,38188394
2026-01-05 20:34:15.629025496 +0000 UTC m=+22.042073250,49,77148,100991893000,3315793920,1518928,45122803
2026-01-05 20:34:16.636982728 +0000 UTC m=+23.050030481,49,77148,108042699000,3743264768,1601209,52528413
2026-01-05 20:34:17.642118409 +0000 UTC m=+24.055166132,49,77148,114934392000,4201893888,1689030,60691894
2026-01-05 20:34:18.644708401 +0000 UTC m=+25.057756134,49,77148,121815179000,4664983552,1773993,68783332
2026-01-05 20:34:19.651249482 +0000 UTC m=+26.064297235,49,77148,128559211000,4842168320,1852127,76263615
2026-01-05 20:34:20.655929094 +0000 UTC m=+27.068976827,49,77148,135521452000,4846882816,1947365,85478705
2026-01-05 20:34:21.659106775 +0000 UTC m=+28.072154538,49,77148,142300915000,4847407104,2051180,95342405
2026-01-05 20:34:22.679970936 +0000 UTC m=+29.093018669,49,77148,149270203000,4847947776,2151055,105101994
2026-01-05 20:34:23.692486307 +0000 UTC m=+30.105534080,49,77148,156255098000,4848943104,2264864,116400528
2026-01-05 20:34:24.700344788 +0000 UTC m=+31.113392522,49,77148,163358226000,4849975296,2371768,127354683
2026-01-05 20:34:25.70838679 +0000 UTC m=+32.121434533,49,77148,170208853000,4851105792,2488368,139194423
2026-01-05 20:34:26.715590551 +0000 UTC m=+33.128638284,49,77148,176935146000,5163331584,2579690,148529863
2026-01-05 20:34:27.720830563 +0000 UTC m=+34.133878296,49,77148,183820644000,5404401664,2656945,156669864
2026-01-05 20:34:28.726832464 +0000 UTC m=+35.139880197,49,77148,190933341000,5405696000,2777611,169197672
2026-01-05 20:34:29.737522776 +0000 UTC m=+36.150570499,49,77148,198251959000,5406097408,2870817,178950949
2026-01-05 20:34:30.740536427 +0000 UTC m=+37.153584190,49,77148,205002067000,5406879744,2997665,192170332
2026-01-05 20:34:31.743408969 +0000 UTC m=+38.156456732,49,77148,211791568000,5408034816,3168843,210190602
2026-01-05 20:34:32.74744276 +0000 UTC m=+39.160490493,49,77148,218591798000,5461463040,3372900,232164175
2026-01-05 20:34:33.755597281 +0000 UTC m=+40.168645004,49,77148,225377171000,6832488448,3597816,256180803
2026-01-05 20:34:34.758820003 +0000 UTC m=+41.171867756,49,77148,231816420000,8136462336,3803388,278367696
2026-01-05 20:34:35.766335065 +0000 UTC m=+42.179382808,49,77148,238388728000,9637523456,4044334,304594754
2026-01-05 20:34:36.784384466 +0000 UTC m=+43.197432219,49,77148,241978944000,10451382272,4173188,319138113
