script,iteration,request_rate,percentile,latency
mixed-requests.lua,0,1000,50.0,2.65
mixed-requests.lua,0,1000,75.0,3.29
mixed-requests.lua,0,1000,90.0,3.89
mixed-requests.lua,0,1000,99.0,21.66
mixed-requests.lua,0,1000,99.9,28.45
mixed-requests.lua,0,1000,99.99,34.49
mixed-requests.lua,0,1000,99.999,35.55
mixed-requests.lua,0,1000,100.0,35.55
